Combination,In-Sample,Out-of-Sample
USDJPY_USDNZD_USDSEK_USDSGD,0.5636020151133502,0.5041946308724832
USDJPY_USDNZD_USDSEK_USDNOK,0.5552057094878253,0.48573825503355705
USDJPY_USDNZD_USDSGD_USDNOK,0.5583543240973972,0.47063758389261745
USDJPY_USDSEK_USDSGD_USDNOK,0.5549958018471872,0.5125838926174496
USDGBP_USDCHF_USDAUD_USDCAD,0.5564651553316541,0.514261744966443
USDGBP_USDCHF_USDAUD_USDNZD,0.551007556675063,0.5268456375838926
USDGBP_USDCHF_USDAUD_USDSEK,0.5505877413937867,0.5209731543624161
USDGBP_USDCHF_USDAUD_USDSGD,0.5491183879093199,0.5234899328859061
USDGBP_USDCHF_USDAUD_USDNOK,0.5499580184718724,0.5209731543624161
USDGBP_USDCHF_USDCAD_USDNZD,0.5568849706129303,0.5041946308724832
USDGBP_USDCHF_USDCAD_USDSEK,0.559823677581864,0.4974832214765101
USDGBP_USDCHF_USDCAD_USDSGD,0.5577246011754828,0.5
USDGBP_USDCHF_USDCAD_USDNOK,0.551007556675063,0.4983221476510067
USDGBP_USDCHF_USDNZD_USDSEK,0.5568849706129303,0.5125838926174496
USDGBP_USDCHF_USDNZD_USDSGD,0.5524769101595298,0.5176174496644296
USDGBP_USDCHF_USDNZD_USDNOK,0.5541561712846348,0.5100671140939598
USDGBP_USDCHF_USDSEK_USDSGD,0.5539462636439967,0.5167785234899329
USDGBP_USDCHF_USDSEK_USDNOK,0.5531066330814441,0.5209731543624161
USDGBP_USDCHF_USDSGD_USDNOK,0.552896725440806,0.5176174496644296
USDGBP_USDAUD_USDCAD_USDNZD,0.5533165407220823,0.5075503355704698
USDGBP_USDAUD_USDCAD_USDSEK,0.5547858942065491,0.5050335570469798
USDGBP_USDAUD_USDCAD_USDSGD,0.5556255247691015,0.514261744966443
USDGBP_USDAUD_USDCAD_USDNOK,0.5533165407220823,0.4815436241610738
USDGBP_USDAUD_USDNZD_USDSEK,0.5524769101595298,0.5167785234899329
USDGBP_USDAUD_USDNZD_USDSGD,0.549328295549958,0.514261744966443
USDGBP_USDAUD_USDNZD_USDNOK,0.5531066330814441,0.4790268456375839
USDGBP_USDAUD_USDSEK_USDSGD,0.5472292191435768,0.5209731543624161
USDGBP_USDAUD_USDSEK_USDNOK,0.5468094038623006,0.5176174496644296
USDGBP_USDAUD_USDSGD_USDNOK,0.5465994962216625,0.5226510067114094
USDGBP_USDCAD_USDNZD_USDSEK,0.556255247691016,0.49916107382550334
USDGBP_USDCAD_USDNZD_USDSGD,0.5514273719563392,0.5067114093959731
USDGBP_USDCAD_USDNZD_USDNOK,0.5554156171284634,0.4639261744966443
USDGBP_USDCAD_USDSEK_USDSGD,0.5524769101595298,0.5016778523489933
USDGBP_USDCAD_USDSEK_USDNOK,0.5512174643157011,0.47231543624161076
USDGBP_USDCAD_USDSGD_USDNOK,0.5573047858942065,0.4773489932885906
USDGBP_USDNZD_USDSEK_USDSGD,0.5556255247691015,0.5067114093959731
USDGBP_USDNZD_USDSEK_USDNOK,0.5526868178001679,0.48322147651006714
USDGBP_USDNZD_USDSGD_USDNOK,0.5556255247691015,0.4697986577181208
USDGBP_USDSEK_USDSGD_USDNOK,0.5516372795969773,0.5176174496644296
USDCHF_USDAUD_USDCAD_USDNZD,0.5526868178001679,0.5234899328859061
USDCHF_USDAUD_USDCAD_USDSEK,0.5514273719563392,0.5218120805369127
USDCHF_USDAUD_USDCAD_USDSGD,0.5552057094878253,0.5134228187919463
USDCHF_USDAUD_USDCAD_USDNOK,0.5507976490344249,0.514261744966443
USDCHF_USDAUD_USDNZD_USDSEK,0.5512174643157011,0.5201342281879194
USDCHF_USDAUD_USDNZD_USDSGD,0.5495382031905961,0.5234899328859061
USDCHF_USDAUD_USDNZD_USDNOK,0.552896725440806,0.5260067114093959
USDCHF_USDAUD_USDSEK_USDSGD,0.5478589420654912,0.5209731543624161
USDCHF_USDAUD_USDSEK_USDNOK,0.5478589420654912,0.5251677852348994
USDCHF_USDAUD_USDSGD_USDNOK,0.5499580184718724,0.5184563758389261
USDCHF_USDCAD_USDNZD_USDSEK,0.5558354324097398,0.5151006711409396
USDCHF_USDCAD_USDNZD_USDSGD,0.5560453400503779,0.5125838926174496
USDCHF_USDCAD_USDNZD_USDNOK,0.5556255247691015,0.5176174496644296
USDCHF_USDCAD_USDSEK_USDSGD,0.5524769101595298,0.5209731543624161
USDCHF_USDCAD_USDSEK_USDNOK,0.5518471872376155,0.5167785234899329
USDCHF_USDCAD_USDSGD_USDNOK,0.5501679261125105,0.5159395973154363
USDCHF_USDNZD_USDSEK_USDSGD,0.5552057094878253,0.5167785234899329
